,RCP_d13C_EW,RCP_d13C_LW,RCP_d18O_EW,RCP_d18O_LW
1930,-20.97,-23.00,34.55,34.65
1931,-20.05,-20.49,28.40,33.03
1932,-21.45,-21.72,31.51,33.70
1933,-20.52,-20.39,32.74,33.70
1934,-20.73,-19.27,34.37,32.81
1935,-21.02,-20.74,32.98,32.58
1936,-20.09,-22.40,31.45,34.83
1937,-22.45,-22.43,31.02,32.77
1938,-22.41,-22.78,31.62,31.26
1939,-20.52,-20.75,34.41,30.43
1940,-20.41,-20.03,34.34,29.56
1941,-21.67,-22.54,32.42,31.64
1942,-20.37,-21.70,33.26,33.61
1943,-21.13,-21.67,31.81,32.11
1944,-22.08,-21.19,31.63,32.11
1945,-20.60,-21.88,32.44,33.02
1946,-20.35,-20.71,33.95,30.96
1947,-21.18,-22.51,31.58,32.53
1948,-20.55,-20.46,32.23,33.98
1949,-21.04,-21.22,31.14,32.63
1950,-19.61,-19.90,32.19,31.64
1951,-20.56,-20.78,31.43,32.14
1952,-20.20,-21.65,31.55,30.53
1953,-20.14,-21.32,33.75,32.33
1954,-19.99,-19.85,32.10,31.05
1955,-19.83,-20.52,33.59,32.76
1956,-21.11,-20.14,33.81,31.76
1957,-20.81,-21.49,31.87,31.21
1958,-19.81,-20.17,33.93,31.72
1959,-19.17,-19.78,33.09,33.73
1960,-22.06,-21.17,35.44,32.89
1961,-21.20,-21.39,33.98,37.09
1962,-22.22,-21.18,35.15,36.78
1963,-22.53,-23.11,34.38,34.16
1964,-23.08,-21.98,33.98,36.63
1965,-22.93,-23.15,32.39,34.97
1966,-22.63,-22.14,35.19,35.91
1967,-23.36,-22.79,31.34,34.28
1968,-23.10,-23.96,32.74,35.07
1969,-23.04,-22.37,32.60,33.84
1970,-22.59,-21.30,32.73,33.80
1971,-22.09,-22.13,33.93,33.97
1972,-22.84,-22.26,35.01,34.80
1973,-23.47,-23.37,33.50,35.54
1974,-22.32,-21.35,33.41,32.85
1975,-23.30,-22.96,33.75,36.97
1976,-22.56,-21.83,36.24,35.81
1977,-21.81,-21.50,34.28,35.16
1978,-22.41,-21.77,36.75,36.05
1979,-23.41,-22.97,33.87,35.18
1980,-22.81,-22.79,34.29,34.87
1981,-22.78,-22.48,34.52,34.43
1982,-23.27,-23.21,33.38,32.70
1983,-24.41,-24.39,31.10,31.77
1984,-23.86,-24.39,33.42,33.10
1985,-23.70,-23.15,33.60,35.20
1986,-23.57,-23.31,33.72,34.50
1987,-24.04,-24.09,35.79,36.23
1988,-23.34,-22.34,34.64,35.18
1989,-23.21,-22.42,33.25,32.37
1990,-23.62,-22.50,34.44,34.43
1991,-23.77,-23.54,34.10,34.36
1992,-24.13,-22.32,35.26,34.59
1993,-23.63,-23.61,34.79,34.49
1994,-23.26,-22.49,35.05,34.53
1995,-24.13,-23.61,34.65,34.11
1996,-24.05,-22.53,34.65,35.30
1997,-23.65,-24.42,34.86,33.50
1998,-24.40,-24.32,33.97,33.80
1999,-24.40,-24.31,33.75,34.57
2000,-23.40,-22.72,36.02,32.98
2001,-23.36,-22.20,37.68,34.99
2002,-22.34,-22.09,34.82,35.47
2003,-23.07,-23.32,35.69,34.73
2004,-24.03,-23.21,34.76,35.08
2005,-23.93,-23.87,35.06,34.10
2006,-23.91,-23.45,34.29,35.48
2007,-23.04,-23.06,37.94,34.43
2008,-23.11,-23.17,35.96,34.30
2009,-24.18,-23.18,34.01,35.57
2010,-23.53,-23.66,35.98,37.27
2011,-24.85,-24.12,33.70,34.97
2012,-23.04,-22.95,36.76,36.35
2013,NA,NA,NA,NA
