year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dic
1895,1.779,2.22,3.132,5.348,6.421,7.503,9.281,10.732,8.053,5.561,2.41,1.693
1896,2.552,2.774,3.51,3.984,5.176,10.796,9.725,9.042,6.851,5.303,2.233,3.045
1897,2.369,1.967,2.166,4.422,8.19,8.412,9.591,10.479,7.778,4.182,3.11,1.441
1898,1.396,2.471,2.357,5.598,4.956,8.857,11.43,11.13,8.475,4.422,2.723,1.557
1899,2.048,2.19,2.949,5.015,5.559,8.166,10.729,8.122,9.2,3.777,3.359,1.639
1900,2.466,2.329,3.968,3.753,7.327,11.502,11.336,10.237,6.824,5.118,3.46,2.294
1901,2.249,2.459,2.869,4.56,7.202,7.889,12.814,9.725,7.905,5.967,3.724,2.148
1902,2.318,2.906,2.209,4.605,6.56,9.985,9.562,10.195,8.078,6.153,2.773,1.741
1903,2.074,1.138,2.856,4.214,5.508,9.169,9.703,10.988,6.971,5.785,3.717,2.172
1904,1.75,2.836,3.118,5.101,5.911,7.645,9.64,9.28,7.907,5.365,4.026,2.142
1905,2.136,2.046,3.074,4.327,4.961,8.802,10.752,10.417,7.681,4.397,2.877,1.332
1906,1.613,2.301,2.531,4.117,5.575,7.531,9.911,8.508,7.074,5.227,2.234,1.789
1907,1.991,2.931,3.337,4.772,5.002,5.915,9.878,8.385,7.682,5.924,3.101,2.156
1908,1.852,1.876,3.189,5.201,4.45,6.098,9.897,8.35,6.968,3.338,2.591,1.308
1909,1.877,1.495,1.948,3.783,5.254,9.139,10.115,8.945,6.534,6.025,2.724,1.014
1910,1.786,1.606,4.617,5.859,6.858,10.037,10.9,10.618,7.931,5.162,3.919,2.236
1911,2.608,1.675,3.224,4.608,6.517,7.987,9.429,10.925,7.656,4.717,2.499,1.62
1912,2.19,2.123,2.196,3.179,5.093,7.83,8.072,8.103,5.28,3.867,2.964,1.593
1913,1.791,1.922,2.328,4.541,6.854,7.481,8.538,9.6,6.69,4.455,2.697,1.391
1914,1.594,1.693,3.763,4.412,6.973,7.451,8.6,9.846,8.103,5.066,4.12,1.444
1915,1.827,1.932,3.088,5.074,4.938,7.009,9.68,9.928,5.955,6.093,2.867,1.821
1916,1.667,1.982,2.928,5.233,6.063,8.249,9.776,9.048,7.981,3.913,2.629,1.532
1917,1.344,1.927,1.904,3.126,3.678,7.788,10.595,9.545,7.488,5.964,3.59,2.868
1918,1.909,1.97,3.273,3.587,5.809,10.444,8.991,9.342,7.289,5.03,2.319,1.482
1919,1.919,1.943,2.749,4.573,7.559,10.397,11.863,10.753,7.341,3.198,2.355,1.772
1920,2.049,2.176,2.04,2.958,5.864,8.325,11.017,8.335,7.113,3.896,2.362,1.627
1921,1.984,2.32,3.395,3.606,5.726,8.592,9.867,7.98,7.908,7.014,3.703,2.486
