year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
1901,83,130.3,71.9,30.8,68.7,4,18.1,65.5,5.3,68.7,57.1,99.1
1902,40.1,56.5,78.3,86.6,28.5,16.2,15.5,15.4,22.8,16.8,62.8,55.9
1903,125.9,49.5,74.6,43.6,55.1,7.7,28.4,5.6,36.2,31.6,93.6,47.4
1904,80.9,143.8,177.3,47.5,87.7,25,10.7,47.9,4.2,48.1,0,71.1
1905,44.9,46.4,97.7,89.4,42.8,13.2,25,24.1,67.2,12.1,23.7,33
1906,147.5,76.8,183.9,61,102.6,42.9,25.9,111.9,14.3,29.7,73,102.6
1907,145.1,178.9,154.8,55.9,85.1,59.5,2.4,42,7,43.4,10.2,120.3
1908,48,39.7,84,22.8,90.1,53.5,43,54.2,83.4,91.3,33,39.2
1909,198.9,128.1,80.5,97.3,34.2,8.7,38.8,97.9,31.9,6.7,125.3,177.3
1910,65.5,109.1,48.6,17.7,11.9,5,37.7,11.9,33.4,47.9,23.9,83.9
1911,172,94.8,144.9,70.3,41.1,40.5,10.8,3.8,58.9,45.1,78.9,36.4
1912,102.3,61.4,183.8,56.7,56.3,27.7,31.4,50,50,127.1,46.2,42
1913,55.6,99.8,48.7,39.6,13.4,85.9,47,37.8,34.3,74.8,73.8,63.7
1914,216.1,72.7,62.4,87.9,11.2,57.7,57.8,26.2,18.5,103.9,15.7,25
1915,62.6,148.9,53.4,77.9,73.7,29.4,9.5,2.1,97.5,5,42.7,75.4
1916,202.8,98.6,145.3,35.7,6.7,5.5,28.7,54.6,41,123.7,26.9,145.3
1917,89.6,109.7,51.2,58.4,119.2,12.8,31.4,10,50,2.4,17.9,15.9
1918,147.4,143.2,132.9,59.2,35,30,40.4,16.2,74.4,73.9,52.9,30.4
1919,6,107.4,54,61.5,34,0.8,6.3,31.4,72.7,97.2,71.5,52
1920,52.3,117.8,169.4,116.4,53.1,5.8,19.9,29.2,52.2,137.6,78.4,67.7
1921,109.6,75.3,128.3,76.4,41.7,15.9,54.3,60.4,25.3,37.6,31.5,221.8
1922,74.8,122.5,92.9,95,38.6,9.7,22,104.5,2.1,16.3,118.4,142.4
1923,122.3,51.4,68.3,130.7,55.3,36.8,17.2,59,50.7,92.3,33.7,66.7
