DOY_CPP98,CPP98,FLB_CPP98,DOY_UAC98,UAC98,FLB_UAC98,DOY_WCP98,WCP98,FLB_WCP98,DOY_HEL98,HEL98,FLB_HEL98,DOY_CCP99,CPP99,FLB_CCP99,DOY_UAC99,UAC99,FLB_UAC99,DOY_WCP99,WCP99,FLB_WCP99,DOY_HEL99,HEL99,FLB_HEL99
143.1666667,31.48312754,NA,144.8,31.41248291,NA,143.1666667,30.98980695,NA,144.8,32.85339904,NA,139.2,35.41533233,NA,141,31.24704538,NA,138.8181818,30.64551529,NA,142,31.18075386,NA
151.3333333,33.51519955,NA,154.6,30.81200355,NA,151.3333333,31.72460232,NA,154.6,32.20700668,NA,143.4,34.22164586,NA,147,30.81770951,NA,142.6363636,31.96449429,NA,149,31.69702829,NA
159.5,31.99010665,NA,164.4,30.59175853,NA,159.5,32.0004515,NA,164.4,31.25210886,NA,147.6,33.87465605,NA,153,30.52716163,NA,146.4545455,32.41402406,NA,156,30.70855165,NA
167.6666667,31.10808767,NA,174.2,30.57721405,NA,167.6666667,31.55751413,NA,174.2,30.53960819,NA,151.8,32.27372406,NA,159,30.1930362,NA,150.2727273,32.19289565,NA,163,NA,NA
175.8333333,30.43696368,NA,184,29.73155627,29.73155627,175.8333333,30.01076337,NA,184,28.06736726,28.06736726,156,31.51948875,NA,165,28.58141679,NA,154.0909091,31.40955525,NA,170,28.56055661,NA
184,30.13984067,NA,194.9090909,28.02361844,NA,184,29.64383788,NA,194.9090909,27.15339364,NA,160.2,30.08374053,NA,171,25.12417952,NA,157.9090909,30.99695967,NA,177,25.85767902,25.85767902
193.2307692,28.76227038,NA,205.8181818,27.57066169,NA,192.5714286,27.29983043,NA,205.8181818,27.26987018,NA,164.4,30.99484848,NA,177,25.8585683,25.8585683,161.7272727,30.31024172,NA,189.7,24.74408347,NA
202.4615385,28.54410314,NA,216.7272727,26.50787556,NA,201.1428571,26.07951548,NA,216.7272727,27.57732629,NA,168.6,29.65987274,NA,198.1666667,26.85382647,NA,165.5454545,28.60236559,NA,202.4,23.63048791,NA
211.6923077,27.67351196,NA,227.6363636,26.97745458,NA,209.7142857,26.17854526,NA,227.6363636,27.97082814,NA,172.8,NA,NA,219.3333333,28.75707593,NA,169.3636364,28.40702815,NA,215.1,24.66137731,NA
220.9230769,29.66714499,NA,238.5454545,27.84389019,NA,218.2857143,26.17849432,NA,238.5454545,28.10199542,NA,177,26.63462034,NA,240.5,28.94303753,NA,173.1818182,26.75946987,NA,227.8,25.07951902,NA
